Target_genes	ELK1|Average	SRX2424218|A549	SRX2424219|A549	SRX4637892|Dermal_fibroblast	SRX4637894|Dermal_fibroblast	SRX150425|GM12878	SRX028646|HeLa	SRX150406|HeLa	SRX10475061|Hep_G2	SRX10475062|Hep_G2	SRX2424280|IMR-90	SRX2424281|IMR-90	SRX186625|K-562	SRX2423865|MCF-7	SRX2423866|MCF-7	STRING
ADIPOR2	45.571429	0	0	0	0	155	0	164	0	100	0	0	0	219	0	0
UBR1	45.500000	0	0	0	0	200	0	267	0	94	0	0	76	0	0	0
SNAP25	45.500000	0	0	0	0	0	0	0	275	362	0	0	0	0	0	0
CCDC61	45.428571	0	0	0	0	168	0	124	0	0	0	0	112	232	0	0
GPATCH1	45.357143	0	0	0	0	260	0	196	0	83	0	0	96	0	0	0
POLR3B	45.285714	0	0	0	0	262	0	176	78	0	0	0	0	118	0	0
SNRPD2	45.142857	0	0	0	0	185	0	104	0	107	0	0	0	236	0	0
QPCTL	45.142857	0	0	0	0	185	0	104	0	107	0	0	0	236	0	0
NABP2	45.142857	0	0	0	0	254	0	80	0	0	0	0	0	298	0	0
CNPY3	45.142857	0	0	0	0	115	0	0	187	221	0	0	0	109	0	0
PLGRKT	45.000000	0	0	0	0	169	0	285	0	0	0	0	0	176	0	0
MRPS15	45.000000	0	0	0	0	241	0	164	102	123	0	0	0	0	0	0
SLC25A24	44.928571	0	0	0	0	0	0	0	0	0	0	0	0	492	137	0
RPAIN	44.928571	0	0	0	0	100	0	180	0	0	0	0	0	349	0	0
NUP88	44.928571	0	0	0	0	100	0	180	0	0	0	0	0	349	0	0
DNM2	44.857143	0	0	0	0	149	0	177	0	0	0	0	0	302	0	0
ZKSCAN2	44.714286	0	0	0	0	130	0	0	111	156	0	0	0	229	0	0
SDR42E1	44.714286	0	0	0	0	203	0	0	0	0	0	0	0	423	0	0
DTX2	44.714286	0	0	0	0	194	0	116	0	0	0	0	0	316	0	0
YWHAE	44.642857	0	0	0	0	228	0	172	0	0	0	0	0	225	0	0
SPCS1	44.642857	0	0	0	0	227	0	262	0	0	0	0	0	136	0	0
GLT8D1	44.642857	0	0	0	0	227	0	262	0	0	0	0	0	136	0	0
GDAP1	44.642857	0	0	0	0	192	0	0	125	99	0	0	0	209	0	0
TCTN3	44.571429	0	0	0	0	285	0	152	0	0	0	0	0	187	0	0
WDR70	44.500000	0	0	0	0	142	0	257	0	65	0	0	159	0	0	0
TRIM26	44.500000	0	0	0	0	117	0	194	0	199	0	0	0	113	0	0
RAD54L2	44.500000	0	0	0	0	129	0	147	122	225	0	0	0	0	0	0
ITGB3BP	44.500000	0	0	0	0	201	104	233	0	85	0	0	0	0	0	0
EFCAB7	44.500000	0	0	0	0	201	104	233	0	85	0	0	0	0	0	0
CCDC150	44.500000	0	0	0	0	208	0	120	83	86	0	0	0	126	0	0
UQCC1	44.428571	0	0	0	0	202	0	182	148	90	0	0	0	0	0	0
SAR1A	44.428571	0	0	0	0	106	0	91	0	0	0	0	0	425	0	0
RANBP2	44.428571	0	0	0	0	160	0	114	102	246	0	0	0	0	0	0
MCM5	44.428571	0	0	0	0	180	0	141	0	126	0	0	0	175	0	0
NUP42	44.357143	0	0	0	0	185	0	191	0	124	0	0	0	121	0	0
NUDCD1	44.357143	0	0	0	0	173	0	0	0	0	0	0	0	342	106	0
TUBGCP3	44.285714	0	0	0	0	269	0	117	116	118	0	0	0	0	0	0
RBM42	44.285714	0	0	0	0	258	0	176	0	71	0	0	0	115	0	0
KPNB1	44.285714	0	0	0	0	160	0	0	149	113	0	0	0	198	0	0
SLBP	44.214286	0	0	0	0	176	0	0	189	166	0	0	0	88	0	0
PSME3	44.214286	0	0	0	0	101	0	201	0	152	0	0	0	165	0	0
ING2	44.214286	0	0	0	0	334	0	114	0	0	0	0	0	171	0	0
CHPF2	44.214286	0	0	0	0	375	0	244	0	0	0	0	0	0	0	0
AKAP10	44.214286	0	0	0	0	152	0	214	157	0	0	0	0	96	0	0
ZDHHC5	44.142857	0	0	0	0	189	89	127	0	0	0	0	106	107	0	0
UBXN1	44.142857	0	0	0	0	256	0	233	0	0	0	0	0	129	0	0
NOB1	44.071429	0	0	0	0	126	0	85	100	146	0	0	0	160	0	0
HES3	44.071429	0	0	0	0	0	0	0	296	321	0	0	0	0	0	0
AEN	44.000000	0	0	0	0	147	0	152	0	92	0	0	0	225	0	0
ZFAND2A	43.928571	0	0	0	0	230	0	98	0	0	0	0	0	287	0	0
TAF1D	43.928571	0	0	0	0	127	0	298	0	95	0	0	0	95	0	0
SPOP	43.928571	0	0	0	0	0	0	0	391	151	0	0	0	73	0	0
NOC4L	43.928571	0	0	0	0	284	0	331	0	0	0	0	0	0	0	0
DDX51	43.928571	0	0	0	0	284	0	331	0	0	0	0	0	0	0	0
C11orf54	43.928571	0	0	0	0	127	0	298	0	95	0	0	0	95	0	0
CACTIN	43.857143	0	0	0	0	177	0	151	0	75	0	0	0	211	0	0
APRT	43.857143	0	0	0	0	179	0	216	0	98	0	0	0	121	0	0
STAT2	43.785714	0	0	0	0	280	0	128	0	0	0	0	0	205	0	0
MAF1	43.785714	0	0	0	0	278	0	201	0	0	0	0	0	134	0	0
ACAD9	43.785714	0	0	0	0	86	0	139	163	150	0	0	0	75	0	0
SLC25A20	43.714286	0	0	0	0	189	0	247	0	0	0	0	0	176	0	0
FAAP24	43.714286	0	0	0	0	195	0	76	0	0	0	0	0	341	0	0
CEP89	43.714286	0	0	0	0	195	0	76	0	0	0	0	0	341	0	0
SST	43.642857	0	0	0	0	0	0	0	430	181	0	0	0	0	0	0
SDR39U1	43.642857	0	0	0	0	113	0	75	105	130	0	0	0	188	0	0
GTF2B	43.642857	0	0	0	0	217	0	122	93	179	0	0	0	0	0	0
MRM3	43.571429	0	0	0	0	182	0	202	0	108	0	0	0	118	0	0
GLOD4	43.571429	0	0	0	0	182	0	202	0	108	0	0	0	118	0	0
DNAH7	43.571429	0	0	0	0	192	0	0	0	136	0	0	0	282	0	0
NDUFB7	43.500000	0	0	0	0	194	0	166	0	167	0	0	82	0	0	0
COX5B	43.500000	0	0	0	0	180	0	187	0	75	0	0	0	167	0	0
TRAIP	43.428571	0	0	0	0	258	0	174	0	0	0	0	0	176	0	0
NDUFA2	43.428571	0	0	0	0	126	0	218	0	107	0	0	0	157	0	0
IK	43.428571	0	0	0	0	126	0	218	0	107	0	0	0	157	0	0
ETFDH	43.428571	0	0	0	0	123	0	0	0	129	0	0	0	356	0	0
C4orf46	43.428571	0	0	0	0	123	0	0	0	129	0	0	0	356	0	0
TRAPPC9	43.357143	0	0	0	0	187	0	240	0	0	0	0	0	180	0	0
ATP6V1H	43.357143	0	0	0	0	174	0	154	0	0	0	0	0	279	0	0
HIBCH	43.285714	0	0	0	0	80	0	111	110	173	0	0	0	132	0	0
FAAH	43.214286	0	0	0	0	0	0	0	179	140	0	0	0	286	0	0
YIPF4	43.142857	0	0	0	0	166	0	202	0	0	0	0	0	236	0	0
NFKBIL1	43.142857	0	0	0	0	264	0	155	0	0	0	0	185	0	0	0
CHORDC1	43.142857	0	0	0	0	193	0	214	93	104	0	0	0	0	0	0
ATP6V1G2	43.142857	0	0	0	0	264	0	155	0	0	0	0	185	0	0	0
ABCD4	43.142857	0	0	0	0	209	0	176	0	111	0	0	108	0	0	0
TENT2	43.071429	0	0	0	0	195	0	408	0	0	0	0	0	0	0	0
HEXIM1	43.071429	0	0	0	0	331	0	0	144	0	0	0	128	0	0	0
ZBTB37	43.000000	0	0	0	0	272	0	173	0	0	0	0	0	157	0	0
PSMC3IP	43.000000	0	0	0	0	206	0	88	0	164	0	0	0	144	0	0
EHMT1	43.000000	0	0	0	0	120	0	215	0	0	0	0	0	267	0	0
ADH5	43.000000	0	0	0	0	249	0	179	0	174	0	0	0	0	0	0
CHMP4A	42.928571	0	0	0	0	117	0	120	77	186	0	0	0	101	0	0
ZNF584	42.857143	0	0	0	0	178	0	220	83	0	0	0	0	119	0	0
LRRC58	42.857143	0	0	0	0	140	0	142	0	119	0	0	0	199	0	0
GABPB1	42.857143	0	0	0	0	115	0	137	77	0	0	0	0	271	0	0
RAD51AP1	42.785714	0	0	0	0	289	111	0	0	0	0	0	0	199	0	0
PIH1D2	42.785714	0	0	0	0	216	0	127	0	0	0	0	101	155	0	0
NKAPD1	42.785714	0	0	0	0	216	0	127	0	0	0	0	101	155	0	0
GRM1	42.785714	0	0	0	0	0	0	0	322	277	0	0	0	0	0	0
DHX33	42.785714	0	0	0	0	249	0	133	0	136	0	0	0	81	0	0
C12orf4	42.785714	0	0	0	0	289	111	0	0	0	0	0	0	199	0	0
ZNF391	42.714286	0	0	0	0	124	0	0	155	194	0	0	125	0	0	0
SRRM3	42.714286	0	0	0	0	0	0	0	253	345	0	0	0	0	0	0
RRM2B	42.714286	0	0	0	0	198	0	161	0	0	0	0	0	239	0	0
RPN2	42.642857	0	0	0	0	107	0	124	0	0	0	0	0	366	0	0
PANX1	42.642857	0	0	0	0	299	0	186	0	0	0	0	0	112	0	0
MROH8	42.642857	0	0	0	0	107	0	124	0	0	0	0	0	366	0	0
LSM14B	42.642857	0	0	0	0	181	0	0	0	0	0	0	0	416	0	0
USP1	42.571429	0	0	0	0	217	0	122	0	0	0	0	0	257	0	0
PTGES2	42.571429	0	0	0	0	161	0	132	0	0	0	0	111	192	0	0
ARPP19	42.571429	0	0	0	0	125	0	165	0	80	0	0	0	226	0	0
RBM48	42.500000	0	0	0	0	179	0	146	0	0	0	0	106	164	0	0
PEX1	42.500000	0	0	0	0	179	0	146	0	0	0	0	106	164	0	0
CEP135	42.500000	0	0	0	0	213	0	85	0	110	0	0	0	187	0	0
BORCS5	42.500000	0	0	0	0	94	0	357	0	0	0	0	0	144	0	0
NTSR2	42.428571	0	0	0	0	0	0	0	293	301	0	0	0	0	0	0
TTK	42.357143	0	0	0	0	160	0	0	0	0	0	0	0	433	0	0
CAPN15	42.357143	0	0	0	0	165	0	137	0	0	0	0	112	179	0	0
C2orf49	42.357143	0	0	0	0	194	0	117	0	0	0	0	0	282	0	0
ZNF232	42.285714	0	0	0	0	246	0	131	0	0	0	0	0	215	0	0
RPL18A	42.285714	0	0	0	0	171	0	160	0	0	0	0	0	261	0	0
POLL	42.285714	0	0	0	0	170	0	208	0	0	0	0	0	214	0	0
PMS2	42.285714	0	0	0	0	0	0	114	173	170	0	0	0	135	0	0
DPCD	42.285714	0	0	0	0	170	0	208	0	0	0	0	0	214	0	0
CCR7	42.285714	0	0	0	0	151	0	123	140	178	0	0	0	0	0	0
ARL2BP	42.285714	0	0	0	0	149	0	201	0	114	0	0	0	128	0	0
AIMP2	42.285714	0	0	0	0	0	0	114	173	170	0	0	0	135	0	0
TBC1D10B	42.214286	0	0	0	0	283	0	123	0	0	0	0	0	185	0	0
PTCD1	42.214286	0	0	0	0	123	0	268	0	116	0	0	84	0	0	0
MYLPF	42.214286	0	0	0	0	283	0	123	0	0	0	0	0	185	0	0
CPSF4	42.214286	0	0	0	0	123	0	268	0	116	0	0	84	0	0	0
ORMDL3	42.142857	0	0	0	0	281	0	192	0	117	0	0	0	0	0	0
NBN	42.142857	0	0	0	0	183	0	0	0	114	0	0	0	293	0	0
ATAT1	42.142857	0	0	0	0	193	0	0	0	124	0	0	0	273	0	0
PLD3	42.071429	0	0	0	0	263	0	171	0	0	0	0	0	155	0	0
FCHSD2	42.071429	0	0	0	0	153	0	125	0	167	0	0	0	144	0	0
C19orf47	42.071429	0	0	0	0	263	0	171	0	0	0	0	0	155	0	0
ARHGEF18	42.071429	0	0	0	0	229	0	203	0	0	0	0	157	0	0	0
PPP1CA	42.000000	0	0	0	0	0	0	125	0	0	0	0	129	334	0	0
CPPED1	42.000000	0	0	0	0	188	0	0	145	175	0	0	0	80	0	0
ZNF93	41.857143	0	0	0	0	378	0	0	0	0	0	0	208	0	0	0
MTHFD2L	41.857143	0	0	0	0	135	0	172	100	179	0	0	0	0	0	0
ACTR3	41.857143	0	0	0	0	230	0	0	74	205	0	0	77	0	0	0
HSPH1	41.785714	0	0	0	0	294	0	151	0	0	0	0	0	140	0	0
GPR107	41.785714	0	0	0	0	137	0	226	0	0	0	0	0	222	0	0
WAC	41.714286	0	0	0	0	114	0	0	0	84	0	0	0	386	0	0
DCAKD	41.714286	0	0	0	0	145	0	252	0	0	0	0	0	187	0	0
BRIP1	41.714286	0	0	0	0	0	0	0	0	0	0	0	0	436	148	0
ACBD3	41.714286	0	0	0	0	96	0	205	0	0	0	0	133	150	0	0
ZNF143	41.642857	0	0	0	0	186	0	126	0	0	0	0	0	271	0	0
STPG2	41.642857	0	0	0	0	189	0	108	0	0	0	0	0	286	0	0
PTPRS	41.642857	0	0	0	0	0	0	0	311	272	0	0	0	0	0	0
PEF1	41.571429	0	0	0	0	129	0	134	0	0	0	0	96	223	0	0
ANKS1A	41.571429	0	0	0	0	0	0	180	0	0	0	0	0	402	0	0
AP1G1	41.500000	0	0	0	0	121	0	185	94	0	0	0	0	181	0	0
MTFR2	41.357143	0	0	0	0	285	0	0	83	0	0	0	0	211	0	0
H4C4	41.357143	0	0	0	0	178	0	0	137	184	0	0	80	0	0	0
COMMD9	41.357143	0	0	0	0	170	0	150	135	124	0	0	0	0	0	0
B3GALNT2	41.357143	0	0	0	0	156	0	116	65	151	0	0	0	91	0	0
TSC1	41.285714	0	0	0	0	138	0	93	106	0	0	0	0	241	0	0
OS9	41.285714	0	0	0	0	162	0	112	0	154	0	0	0	150	0	0
KLF11	41.285714	0	0	0	0	0	0	0	378	200	0	0	0	0	0	0
GFI1B	41.285714	0	0	0	0	138	0	93	106	0	0	0	0	241	0	0
DLX4	41.285714	0	0	0	0	0	0	357	0	0	0	0	0	221	0	0
BOLA1	41.285714	0	0	0	0	229	0	206	0	0	0	0	0	143	0	0
RRNAD1	41.214286	0	0	0	0	294	0	283	0	0	0	0	0	0	0	0
ISG20L2	41.214286	0	0	0	0	294	0	283	0	0	0	0	0	0	0	0
IDI1	41.214286	0	0	0	0	162	0	0	0	0	0	0	0	415	0	0
FBXO46	41.214286	0	0	0	0	167	0	127	0	171	0	0	0	112	0	0
EIF3K	41.214286	0	0	0	0	110	0	93	0	142	0	0	0	232	0	0
COPS3	41.214286	0	0	0	0	128	0	142	0	0	0	0	0	307	0	0
ZBTB6	41.142857	0	0	0	0	131	0	343	0	0	0	0	0	102	0	0
VWC2L	41.142857	0	0	0	0	0	0	0	284	292	0	0	0	0	0	0
TMEM167B	41.142857	0	0	0	0	125	0	196	128	127	0	0	0	0	0	0
NDUFB6	41.142857	0	0	0	0	157	0	237	82	100	0	0	0	0	0	0
H4C5	41.142857	0	0	0	0	202	0	127	177	70	0	0	0	0	0	0
FBXW5	41.142857	0	0	0	0	160	0	289	0	0	0	0	0	127	0	0
C8G	41.142857	0	0	0	0	160	0	289	0	0	0	0	0	127	0	0
UEVLD	41.071429	0	0	0	0	194	0	165	0	113	0	0	0	103	0	0
ATP5F1E	41.071429	0	0	0	0	0	0	97	116	109	0	0	0	253	0	0
BECN1	41.000000	0	0	0	0	152	0	200	0	96	0	0	0	126	0	0
EBAG9	40.928571	0	0	0	0	0	0	0	173	234	0	0	0	166	0	0
RBM25	40.857143	0	0	0	0	194	0	119	0	89	0	0	0	170	0	0
TAX1BP1	40.785714	0	0	0	0	134	0	125	0	0	0	0	0	312	0	0
RPL5	40.785714	0	0	0	0	131	0	115	175	150	0	0	0	0	0	0
CCNB1	40.785714	0	0	0	0	0	0	73	0	92	0	0	0	302	104	0
SLC35F6	40.714286	0	0	0	0	94	0	124	0	0	0	0	0	352	0	0
SELENOK	40.642857	0	0	0	0	195	0	216	0	0	0	0	0	158	0	0
RWDD2A	40.642857	0	0	0	0	111	0	118	59	113	0	0	0	168	0	0
PGM3	40.642857	0	0	0	0	111	0	118	59	113	0	0	0	168	0	0
LOC112694756	40.642857	0	0	0	0	0	0	111	270	188	0	0	0	0	0	0
ILF2	40.571429	0	0	0	0	213	0	195	0	0	0	0	160	0	0	0
BBS10	40.571429	0	0	0	0	159	0	149	74	0	0	0	0	186	0	0
TSPAN10	40.500000	0	0	0	0	171	0	141	144	0	0	0	0	111	0	0
NPLOC4	40.500000	0	0	0	0	171	0	141	144	0	0	0	0	111	0	0
CRY2	40.500000	0	0	0	0	116	0	216	0	116	0	0	0	119	0	0
ASCL5	40.500000	0	0	0	0	0	0	0	0	0	0	0	0	567	0	0
TGOLN2	40.428571	0	0	0	0	108	0	117	0	152	0	0	0	189	0	0
SRSF2	40.428571	0	0	0	0	0	0	112	115	0	0	0	146	193	0	0
NICN1	40.428571	0	0	0	0	353	0	128	0	85	0	0	0	0	0	0
MFSD11	40.428571	0	0	0	0	0	0	112	115	0	0	0	146	193	0	0
H3-3B	40.428571	0	0	0	0	135	0	77	112	113	0	0	0	129	0	0
GFOD2	40.428571	0	0	0	0	177	0	96	0	136	0	0	0	157	0	0
ZNF567	40.357143	0	0	0	0	165	0	182	0	0	0	0	0	218	0	0
SOS1	40.357143	0	0	0	0	179	0	228	0	158	0	0	0	0	0	0
SLC25A3	40.285714	0	0	0	0	194	0	135	147	88	0	0	0	0	0	0
PKD1	40.285714	0	0	0	0	86	0	185	0	0	0	0	0	293	0	0
NAXD	40.285714	0	0	0	0	288	0	276	0	0	0	0	0	0	0	0
MRPS26	40.285714	0	0	0	0	222	0	171	0	0	0	0	0	171	0	0
FADD	40.285714	0	0	0	0	180	0	73	0	0	0	0	106	205	0	0
ANK1	40.285714	0	0	0	0	0	0	0	322	242	0	0	0	0	0	0
TMEM30A	40.214286	0	0	0	0	0	96	150	128	107	0	0	0	82	0	0
TBRG1	40.214286	0	0	0	0	117	0	129	0	139	0	0	0	178	0	0
SPRED2	40.214286	0	0	0	0	0	0	221	0	183	0	0	0	159	0	0
PRRC2B	40.214286	0	0	0	0	139	0	167	0	80	0	0	0	177	0	0
OXA1L	40.214286	0	0	0	0	97	0	0	101	206	0	0	0	159	0	0
MRPL48	40.214286	0	0	0	0	152	0	158	82	0	0	0	0	171	0	0
EHD4	40.214286	0	0	0	0	0	0	173	0	0	0	0	0	277	113	0
TLE4	40.142857	0	0	0	0	431	0	131	0	0	0	0	0	0	0	0
NAT10	40.142857	0	0	0	0	273	0	176	0	113	0	0	0	0	0	0
GTPBP10	40.142857	0	0	0	0	127	0	170	0	125	0	0	0	140	0	0
CDC37	40.142857	0	0	0	0	172	0	125	0	0	0	0	0	265	0	0
API5	40.142857	0	0	0	0	205	0	174	96	87	0	0	0	0	0	0
ZNF234	40.071429	0	0	0	0	219	0	118	0	88	0	0	0	136	0	0
YEATS4	40.071429	0	0	0	0	140	0	0	0	0	0	0	0	255	166	0
ZBTB40	40.000000	0	0	0	0	244	0	188	0	128	0	0	0	0	0	0
RNFT1	40.000000	0	0	0	0	0	0	0	0	0	0	0	0	416	144	0
NUS1	40.000000	0	0	0	0	184	0	98	129	149	0	0	0	0	0	0
NTPCR	40.000000	0	0	0	0	107	0	188	0	0	0	0	0	265	0	0
FBXW11	40.000000	0	0	0	0	153	0	126	0	0	0	0	0	281	0	0
TYW1B	39.928571	0	0	0	0	169	0	119	0	0	0	0	0	271	0	0
SPOUT1	39.928571	0	0	0	0	136	0	161	0	66	0	0	0	196	0	0
DPH7	39.928571	0	0	0	0	204	0	255	0	100	0	0	0	0	0	0
SRSF9	39.857143	0	0	0	0	112	0	149	0	143	0	0	0	154	0	0
PPP4R3B	39.857143	0	0	0	0	192	0	193	0	173	0	0	0	0	0	0
GAS8	39.857143	0	0	0	0	0	0	207	0	0	0	0	119	232	0	0
DYNLL1	39.857143	0	0	0	0	112	0	149	0	143	0	0	0	154	0	0
CIAO3	39.857143	0	0	0	0	205	0	159	0	99	0	0	0	95	0	0
ZNF839	39.785714	0	0	0	0	148	0	112	0	0	0	0	79	218	0	0
KLHL12	39.785714	0	0	0	0	0	0	138	0	138	0	0	0	281	0	0
HSPA1B	39.785714	0	0	0	0	0	0	137	125	105	0	0	190	0	0	0
GTF3A	39.785714	0	0	0	0	101	0	182	0	0	0	0	0	274	0	0
USP37	39.714286	0	0	0	0	68	0	0	177	217	0	0	0	94	0	0
MYADM	39.714286	0	0	0	0	0	0	0	0	0	0	0	0	356	200	0
MDC1	39.714286	0	0	0	0	151	0	113	0	202	0	0	0	90	0	0
LAMTOR3	39.714286	0	0	0	0	287	0	183	0	86	0	0	0	0	0	0
HSPA9	39.714286	0	0	0	0	186	0	0	112	0	0	0	0	258	0	0
CNOT9	39.714286	0	0	0	0	68	0	0	177	217	0	0	0	94	0	0
AMN1	39.642857	0	0	0	0	155	0	117	0	108	0	0	0	175	0	0
ZNF205	39.571429	0	0	0	0	0	0	288	140	126	0	0	0	0	0	0
TSEN34	39.571429	0	0	0	0	0	0	0	0	0	0	0	0	554	0	0
RPE	39.571429	0	0	0	0	171	0	89	0	119	0	0	0	175	0	0
MBOAT7	39.571429	0	0	0	0	0	0	0	0	0	0	0	0	554	0	0
FAM98A	39.571429	0	0	0	0	108	0	339	0	107	0	0	0	0	0	0
GORAB	39.500000	0	0	0	0	104	0	141	96	100	0	0	0	112	0	0
ZNF554	39.428571	0	0	0	0	187	0	84	0	152	0	0	129	0	0	0
STRAP	39.428571	0	0	0	0	79	0	240	0	113	0	0	0	120	0	0
PWP1	39.428571	0	0	0	0	178	0	219	0	0	0	0	0	155	0	0
MAT2A	39.428571	0	0	0	0	149	0	0	65	114	0	0	0	224	0	0
IMPA1	39.428571	0	0	0	0	128	0	128	0	0	0	0	0	296	0	0
STAMBP	39.357143	0	0	0	0	0	0	143	0	147	0	0	0	261	0	0
COG2	39.357143	0	0	0	0	171	0	275	0	105	0	0	0	0	0	0
PRPF4	39.285714	0	0	0	0	130	0	186	0	107	0	0	0	127	0	0
HSPA4	39.285714	0	0	0	0	232	180	138	0	0	0	0	0	0	0	0
CDC26	39.285714	0	0	0	0	130	0	186	0	107	0	0	0	127	0	0
UBE2Z	39.214286	0	0	0	0	0	0	127	111	140	0	0	0	171	0	0
DHX15	39.214286	0	0	0	0	114	0	83	0	141	0	0	0	211	0	0
ANKRD40	39.214286	0	0	0	0	158	0	109	0	169	0	0	113	0	0	0
USP14	39.142857	0	0	0	0	0	0	92	220	236	0	0	0	0	0	0
TMX3	39.142857	0	0	0	0	136	0	82	129	201	0	0	0	0	0	0
IMPDH2	39.142857	0	0	0	0	132	0	91	140	185	0	0	0	0	0	0
CLUAP1	39.142857	0	0	0	0	0	0	123	117	190	0	0	0	118	0	0
CCDC102B	39.142857	0	0	0	0	136	0	82	129	201	0	0	0	0	0	0
BCAS2	39.071429	0	0	0	0	0	0	168	0	0	0	0	0	379	0	0
RPS10-NUDT3	39.000000	0	0	0	0	133	0	128	0	109	0	0	65	111	0	0
RPS10	39.000000	0	0	0	0	133	0	128	0	109	0	0	65	111	0	0
H3C2	39.000000	0	0	0	0	134	0	127	161	0	0	0	124	0	0	0
ZNF70	38.928571	0	0	0	0	220	0	0	0	0	0	0	0	325	0	0
ZNF628	38.928571	0	0	0	0	236	0	228	81	0	0	0	0	0	0	0
RWDD1	38.928571	0	0	0	0	290	0	0	0	137	0	0	0	118	0	0
RAB4B	38.928571	0	0	0	0	125	0	98	0	0	0	0	0	322	0	0
PAXBP1	38.928571	0	0	0	0	176	0	94	167	108	0	0	0	0	0	0
NXF1	38.928571	0	0	0	0	209	0	123	115	0	0	0	98	0	0	0
CCDC86	38.928571	0	0	0	0	130	0	191	82	142	0	0	0	0	0	0
ZNF621	38.857143	0	0	0	0	252	0	202	0	90	0	0	0	0	0	0
ZNF546	38.857143	0	0	0	0	280	0	174	0	0	0	0	0	90	0	0
XRCC2	38.857143	0	0	0	0	108	0	176	164	0	0	0	96	0	0	0
NRSN2	38.857143	0	0	0	0	166	0	0	0	99	0	0	163	116	0	0
LAMP1	38.857143	0	0	0	0	212	0	135	0	197	0	0	0	0	0	0
FAM76B	38.857143	0	0	0	0	245	0	172	0	127	0	0	0	0	0	0
CEP57	38.857143	0	0	0	0	245	0	172	0	127	0	0	0	0	0	0
MRPS14	38.785714	0	0	0	0	139	0	156	0	102	0	0	0	146	0	0
LYSMD3	38.785714	0	0	0	0	141	0	170	55	0	0	0	0	177	0	0
FITM2	38.785714	0	0	0	0	106	0	107	130	200	0	0	0	0	0	0
ZNF790	38.714286	0	0	0	0	261	0	0	0	145	0	0	0	136	0	0
RDH14	38.714286	0	0	0	0	246	0	94	0	202	0	0	0	0	0	0
MFN2	38.714286	0	0	0	0	143	0	184	0	0	0	0	0	215	0	0
TMUB2	38.642857	0	0	0	0	189	0	157	0	0	0	0	0	195	0	0
PTPN11	38.642857	0	0	0	0	224	0	180	0	0	0	0	0	137	0	0
HPCA	38.642857	0	0	0	0	0	0	0	362	179	0	0	0	0	0	0
PSEN1	38.571429	0	0	0	0	132	0	145	0	0	0	0	0	263	0	0
LSM4	38.571429	0	0	0	0	114	0	147	0	0	0	0	0	279	0	0
COPS4	38.571429	0	0	0	0	215	0	135	0	190	0	0	0	0	0	0
PDCL3	38.500000	0	0	0	0	171	0	115	0	119	0	0	0	134	0	0
CHKB	38.500000	0	0	0	0	165	0	137	0	0	0	0	0	237	0	0
INSIG2	38.428571	0	0	0	0	140	0	0	0	112	0	0	0	286	0	0
CHD1L	38.428571	0	0	0	0	130	0	125	0	113	0	0	0	170	0	0
RBIS	38.357143	0	0	0	0	132	0	81	0	79	0	0	0	245	0	0
MED20	38.357143	0	0	0	0	228	0	95	0	0	0	0	0	214	0	0
H1-2	38.357143	0	0	0	0	256	0	0	129	152	0	0	0	0	0	0
BYSL	38.357143	0	0	0	0	228	0	95	0	0	0	0	0	214	0	0
EFCAB11	38.285714	0	0	0	0	350	0	0	0	0	0	0	0	186	0	0
DDX59	38.285714	0	0	0	0	0	0	0	138	0	0	0	0	291	107	0
ARHGAP11A-SCG5	38.214286	0	0	0	0	98	103	151	0	95	0	0	0	88	0	0
ARHGAP11A	38.214286	0	0	0	0	98	103	151	0	95	0	0	0	88	0	0
AK3	38.214286	0	0	0	0	194	0	205	0	136	0	0	0	0	0	0
TRMT61A	38.142857	0	0	0	0	349	0	185	0	0	0	0	0	0	0	0
PPP4R3A	38.142857	0	0	0	0	128	0	117	0	86	0	0	0	203	0	0
ANAPC5	38.071429	0	0	0	0	263	0	185	0	85	0	0	0	0	0	0
UBE2J2	38.000000	0	0	0	0	180	0	197	0	0	0	0	155	0	0	0
SPNS1	38.000000	0	0	0	0	183	0	157	0	101	0	0	0	91	0	0
SMU1	38.000000	0	0	0	0	108	0	194	0	76	0	0	0	154	0	0
HSP90AA1	38.000000	0	0	0	0	120	0	157	0	0	0	0	0	255	0	0
FDXR	38.000000	0	0	0	0	107	0	200	0	0	0	0	0	225	0	0
CD46	38.000000	0	0	0	0	108	0	94	0	0	0	0	102	228	0	0
UQCRC2	37.928571	0	0	0	0	140	0	100	0	127	0	0	0	164	0	0
SCGN	37.928571	0	0	0	0	0	0	0	369	162	0	0	0	0	0	0
LTA4H	37.928571	0	0	0	0	93	0	90	117	67	0	0	96	68	0	0
IQCG	37.928571	0	0	0	0	165	124	149	0	0	0	0	0	93	0	0
CIC	37.928571	0	0	0	0	153	0	0	0	0	0	0	0	210	168	0
BSCL2	37.928571	0	0	0	0	149	0	103	0	0	0	0	0	279	0	0
KDM4D	37.857143	0	0	0	0	107	0	216	136	71	0	0	0	0	0	0
CWC15	37.857143	0	0	0	0	107	0	216	136	71	0	0	0	0	0	0
CENPA	37.857143	0	0	0	0	0	0	0	309	221	0	0	0	0	0	0
TAF9	37.785714	0	0	0	0	178	0	129	0	0	0	0	0	222	0	0
RFC3	37.785714	0	0	0	0	162	0	270	0	0	0	0	0	97	0	0
RAD17	37.785714	0	0	0	0	178	0	129	0	0	0	0	0	222	0	0
